# index, Country, Internal, Latitude, Longitude, geocode_append, geocode_id, hyperedge, id, label, _pos
59,Czech Republic,1,49.19758,14.40702,,,0,59,Zverkovice,"array([-11.91105619,   9.28600272])"
60,Czech Republic,1,49.96414,14.63293,,,0,60,Jazlovice,"array([-10.45008588,   5.566864  ])"
61,Czech Republic,1,49.89651,14.68237,,3061976,0,61,Zajecice,"array([-11.28258931,   6.2453741 ])"
62,Czech Republic,1,50.30688,14.17176,,,0,62,Hospozin,"array([-6.29090321,  5.52402672])"
63,Czech Republic,1,50.27795,14.3686,,,0,63,Zlosyn,"array([-8.0690918 ,  6.05451736])"
64,Czech Republic,1,50.30198,14.31554,,,0,64,Nove Ouholice,"array([-7.2565933 ,  5.57748031])"
65,Czech Republic,1,50.24107,14.31149,,,0,65,Kralupy n. Vit.,"array([-6.16415854,  6.66081269])"
66,Czech Republic,1,50.17485,13.73158,,,0,66,Krupa,"array([-7.17234898,  4.03344214])"
67,Czech Republic,1,50.08804,14.42076,,,0,67,Praha,"array([-7.9032255 ,  6.93653878])"
68,Czech Republic,1,50.14734,14.10285,,,0,68,Kladno,"array([-7.25479964,  7.14004207])"
69,Czech Republic,1,50.05108,14.62812,,3076016,0,69,Hajek,"array([-9.17832047,  6.53616341])"
70,Czech Republic,1,50.14306,14.61026,,3067158,0,70,Radonice,"array([-8.24821527,  7.64870434])"
71,Czech Republic,1,50.08478,14.7695,,,0,71,Tuklaty,"array([-8.46252526,  8.94780086])"
72,Czech Republic,1,50.05909,14.79017,,,0,72,Limuzy,"array([-7.95742138,  9.69553021])"
73,Czech Republic,1,50.00306,14.97703,,,0,73,KS Kourim,"array([-7.34478063, 10.33087363])"
74,Czech Republic,1,50.18605,15.04167,,,0,74,Nymburk,"array([-15.74462426,  16.69887158])"
75,Czech Republic,1,50.14242,15.11881,,,0,75,Podebrady,"array([-15.00233096,  18.03995744])"
76,Czech Republic,1,50.02814,15.20057,,,0,76,Kolin,"array([-11.53553805,  19.15260921])"
77,Czech Republic,1,49.91099,15.38972,,,0,77,Caslav,"array([-0.52367519, 12.50175983])"
78,,1,0.0,0.0,,,0,78,Frankfurt,"array([-12.57351193,   1.48234109])"
79,Czech Republic,1,50.19108,14.59268,,,0,79,Brazdim,"array([-8.5241263 ,  6.97328674])"
80,Czech Republic,1,50.24205,13.94355,,,0,80,Pozden,"array([-6.59210768,  4.65341746])"
81,Czech Republic,1,50.32717,13.54577,,,0,81,Zatec,"array([-12.72537839,  13.28640601])"
82,Czech Republic,1,50.46667,13.6,,,0,82,Bylany,"array([-3.96055436,  5.60453036])"
83,Czech Republic,1,50.46048,13.41779,,,0,83,Chomutov,"array([-4.12965146,  4.5310399 ])"
84,Czech Republic,1,50.49979,13.44769,,,0,84,Jirkov,"array([-3.42090093,  4.91993441])"
85,Czech Republic,1,50.632,13.39072,,,0,85,Brandov,"array([-1.88232526,  4.54134348])"
86,Czech Republic,1,50.35699,13.79667,,,0,86,Louny,"array([-0.37111128, 10.81365876])"
87,Czech Republic,1,50.36138,13.84521,,,0,87,Cerncice,"array([-4.75619801,  6.22615862])"
88,Czech Republic,1,50.37182,13.8878,,,0,88,Pocedelice,"array([-5.08208622,  5.60988857])"
89,Czech Republic,1,50.50301,13.63617,,,0,89,Most,"array([-3.42859688,  6.82453144])"
90,Czech Republic,1,49.75294,13.00409,,,0,90,Stribro,"array([-9.98329854,  1.64154491])"
91,Czech Republic,1,49.83333,13.05,,,0,91,Svinomazy,"array([-8.886306  ,  2.11973148])"
92,Czech Republic,1,49.93449,13.39035,,,0,92,Plasy,"array([-10.01839041,  19.95764125])"
93,Czech Republic,1,49.74747,13.37759,,,0,93,Plzen,"array([-9.89813535,  2.37032962])"
94,Czech Republic,1,49.66817,12.55188,,,0,94,Rozvadov,"array([-12.1623053 ,   2.07776029])"
95,Czech Republic,1,49.71159,12.77516,Plzensky Kraj,,0,95,Bor,"array([-11.10954378,   1.8012625 ])"
96,Czech Republic,1,49.79528,12.63365,,,0,96,Tachov,"array([-14.14038446,  13.06844122])"
97,Czech Republic,1,49.76667,12.95,,3068694,0,97,Otrocin,"array([-8.72370006,  0.69909179])"
98,Czech Republic,1,48.98676,16.19542,,3063924,0,98,Trstenice,"array([-4.21126514, 15.99197399])"
99,Czech Republic,1,49.7427,13.59459,,,0,99,Rokycany,"array([-15.01554582,  11.54128756])"
100,Czech Republic,1,49.53403,13.07458,,,0,100,Hlohova,"array([-13.87684804,   3.2000191 ])"
101,Czech Republic,1,48.76524,16.06682,,7670509,0,101,Hate,"array([-2.37857789, 17.85646252])"
102,Czech Republic,1,50.1037,13.7334,,,0,102,Rakovnik,"array([-11.39653742,  13.75235231])"
103,Czech Republic,1,50.087,13.53258,,,0,103,Sosen,"array([-7.88874479,  3.6367214 ])"
104,Czech Republic,1,50.23271,12.87117,,,0,104,Karlovy Vary,"array([-4.7740372 ,  3.56462746])"
105,Czech Republic,1,50.30592,12.93907,,,0,105,Ostrov,"array([-12.30391114,  14.7458615 ])"
106,Czech Republic,1,49.96459,12.70118,,,0,106,Marianske Lazne,"array([-7.58131562,  1.69905585])"
107,Czech Republic,1,50.22387,12.19499,,,0,107,As,"array([-12.65374524,  17.06566731])"
108,Czech Republic,1,50.07963,12.37392,,,0,108,Cheb,"array([-6.51761019,  2.13710524])"
109,Czech Republic,1,50.1813,12.6401,,,0,109,Sokolov,"array([-5.57486013,  2.76629114])"
110,Czech Republic,1,49.98524,13.36439,Plzensky Kraj,,0,110,Mladotice,"array([-8.61712834,  3.30275722])"
111,Czech Republic,1,49.29785,17.39312,,,0,111,Kromeriz,"array([-16.72864761,  13.83092107])"
112,Czech Republic,1,49.97387,16.39361,,,0,112,Ust nad Orlicl,"array([-4.14170136, 14.84824916])"
113,Czech Republic,1,49.86809,16.31298,,,0,113,Litomysl,"array([-0.59963675, 14.15732301])"
114,Czech Republic,1,49.89795,18.19196,,,0,114,Hlucin,"array([-6.71011673, 18.83116442])"
